video_id,desc,author,author_id,create_time,tags,duration,digg_count,comment_count,play_count,share_count,video_url
7502067735820520739,《以便以谢》 弟兄姊妹~晚安 #音乐现场LIVE  #爱音乐爱生活  #生命河  #Worship  #诗歌崇拜,诗歌金曲榜,2089546122004056,2025-05-08 21:34:35,"音乐现场LIVE, 爱音乐爱生活, 生命河, Worship, 诗歌崇拜",0,1678,27,0,102,https://www.douyin.com/video/7502067735820520739
7481848882645847308,跟我一起学诗歌#启蒙早教 #儿童诗词启蒙早教0-6岁 #幼儿启蒙古诗词 #古诗3-6岁儿童必背朗诵 #儿童诗词三百首全集,🥭果果儿诗歌📖,1257457353760168,2025-03-15 09:55:28,"启蒙早教, 儿童诗词启蒙早教0, 幼儿启蒙古诗词, 古诗3, 儿童诗词三百首全集",0,13187,390,0,2734,https://www.douyin.com/video/7481848882645847308
7520551395193572666,百年党史  再续新篇章庆祝中国共产党建党104周年诗歌朗诵会 #朗诵会,深泽融媒体中心（深泽广播电视台）,95489846710,2025-06-27 17:00:26,朗诵会,0,11,1,0,3,https://www.douyin.com/video/7520551395193572666
7520916443724434745,#上热门🔥 #林诗栋 #樊振东 #诗歌 #国乒,诗岩心语,110675502473,2025-06-28 16:37:01,"上热门🔥, 林诗栋, 樊振东, 诗歌, 国乒",0,819,181,0,21,https://www.douyin.com/video/7520916443724434745
7520563133233106185,宋雨老师邀您朗诵《干净的人》，一个干净的人，并非不食人间烟火，不染世俗，而是灵魂深处有净土，思想背后有初心。坚守良知和道义，有所为有所不为。#朗诵 #朗读 #诗歌 #干净的人 #普通话,苇渡雨诵读,3270403679856160,2025-06-28 07:45:00,"朗诵, 朗读, 诗歌, 干净的人, 普通话",0,516,79,0,14,https://www.douyin.com/video/7520563133233106185
7515104808349666619,【哈基米音乐】印度神曲-Ankhein Khuili#哈基米音乐 #哈基米 #鬼畜 #赛马娘  #曼波,极霸猫诗歌剧（红玉楼楼主）,91617549282,2025-06-13 00:44:57,"哈基米音乐, 哈基米, 鬼畜, 赛马娘, 曼波",0,18362,1119,0,22725,https://www.douyin.com/video/7515104808349666619
7520584866099612988,你会读懂那些注定要落笔的隐喻 就像，我不止一次读懂  你比海更湛蓝的眼睛… #原创诗歌 #现代诗 #原创 #随笔,礼 与拾柒,4218183626798606,2025-06-27 19:10:17,"原创诗歌, 现代诗, 原创, 随笔",0,899,83,0,64,https://www.douyin.com/video/7520584866099612988
7461535569647111458,#原创诗歌#唱出心声唱出爱 @张弟兄诗歌伴奏,张弟兄（天缘诗歌）集,1912781654198711,2025-01-19 16:09:39,原创诗歌,0,9638,505,0,2554,https://www.douyin.com/video/7461535569647111458
7521141211618364730,曾以为不嗅蔷薇 不忆初遇，不听那首写满故事的老歌 就不会暗自神伤，徒留相思寄明月 #情诗#云朵是天空的情书 #恰逢那年你明媚翻唱#曾以为#素衣凝香,素衣凝香诗歌,659295771575415,2025-06-29 07:09:17,"情诗, 恰逢那年你明媚翻唱, 曾以为, 素衣凝香",0,774,232,0,97,https://www.douyin.com/video/7521141211618364730
7520945175464807740,《决断》是徐志摩先生一首富有决断和激情的诗歌，表达作者对于爱情，自由和生与死深刻的思考。生和死就呼吸之间，谁都主宰不了这个问题，看淡放下一切执念，随性自在就好！😊😊😊,书韵同心—秋月,2931769844182579,2025-06-28 18:28:28,,0,93,52,0,0,https://www.douyin.com/video/7520945175464807740
