video_id,desc,author,author_id,create_time,tags,duration,digg_count,comment_count,play_count,share_count,video_url
7520917295812709682,拿破仑初露锋芒就震撼全法国！拿破仑在土伦战役有多厉害？ #历史 #战争 #人物故事 #法国 #人文星闪耀计划,酒痴东梦,1543343958922731,2025-06-28 16:40:23,"历史, 战争, 人物故事, 法国, 人文星闪耀计划",0,198644,2133,0,15143,https://www.douyin.com/video/7520917295812709682
7521289644605033737,拿破仑陷入人生低潮！但危机中也蕴藏着转机？ #历史 #人物故事 #法国 #战争 #人文星闪耀计划,酒痴东梦,1543343958922731,2025-06-29 16:45:19,"历史, 人物故事, 法国, 战争, 人文星闪耀计划",0,40900,260,0,978,https://www.douyin.com/video/7521289644605033737
7063800994169244959,中国历史上不识投降二字的王朝 #明朝,奇墨历史,2260228670236199,2022-02-12 20:37:12,明朝,0,1204538,48857,0,74779,https://www.douyin.com/video/7063800994169244959
7521254292197428480,36 人攻打五十余国；投笔从戎，打通中国五分之一的地图!他就是东汉第一狠人——#班超!#东汉 #历史 #历史人物,梗姐姐,3474112572840599,2025-06-29 14:28:04,"班超, 东汉, 历史, 历史人物",0,16493,237,0,481,https://www.douyin.com/video/7521254292197428480
7520503332663708955,认识一下！我叫张议潮，大唐无敌共和国最后一任战神 #燕云十六声张淮深之死 #燕云十六声 #历史,古人云,106015204116,2025-06-27 18:01:13,"燕云十六声张淮深之死, 燕云十六声, 历史",0,47720,686,0,1878,https://www.douyin.com/video/7520503332663708955
7521284457212841274,淞沪会战参战部队一览（仅陆军步兵部队）#爱情讯息 #淞沪会战 #历史 #电影谢幕,IMY,1339666038523116,2025-06-29 16:25:05,"爱情讯息, 淞沪会战, 历史, 电影谢幕",0,491305,6887,0,32881,https://www.douyin.com/video/7521284457212841274
7520626854526373154,中国历史王朝篇之大清帝国的荣辱兴衰史。#清朝历史 #睡前故事 #助眠 #一口气看完系列,睡前历史说,3428737368203146,2025-06-27 21:53:14,"清朝历史, 睡前故事, 助眠, 一口气看完系列",0,19889,302,0,3708,https://www.douyin.com/video/7520626854526373154
7520556290720959782,波斯帝国，左右互搏，伊朗内斗为何如此严重 #硬核深度计划  #零基础看懂全球  #理性看世界,历史微鉴,99493479568,2025-06-28 17:30:00,"硬核深度计划, 零基础看懂全球, 理性看世界",0,5036,67,0,82,https://www.douyin.com/video/7520556290720959782
7492631442405575974,中国历史上的千古罪人，你觉得谁可排第一？ #人文星闪耀计划 #在抖音看懂历史脉络 #历史人物,唠唠历史,2192891927337852,2025-04-13 11:17:03,"人文星闪耀计划, 在抖音看懂历史脉络, 历史人物",0,90005,4358,0,7267,https://www.douyin.com/video/7492631442405575974
7521226121321499950,离奇的冤案，无言的结局 #抖音精选 #人文星闪耀计划 #玩梗趣讲冷门历史 有冤，你得喊出来,历史其实挺有趣,536214489021671,2025-06-29 12:38:55,"抖音精选, 人文星闪耀计划, 玩梗趣讲冷门历史",0,23941,290,0,1841,https://www.douyin.com/video/7521226121321499950
7520867027754503424,楚汉争霸（完）——西楚霸王项羽之死！ #历史 #历史知多少 #历史冷知识 #楚汉争霸,七哥侃历史,63112110070,2025-06-28 17:00:00,"历史, 历史知多少, 历史冷知识, 楚汉争霸",0,12376,1556,0,419,https://www.douyin.com/video/7520867027754503424
7521260512114527523,大汉帝国（开篇）——大汉王朝有多伟大！ #历史 #历史知多少 #西汉 #大汉帝国,七哥侃历史,63112110070,2025-06-29 17:00:00,"历史, 历史知多少, 西汉, 大汉帝国",0,9382,785,0,214,https://www.douyin.com/video/7521260512114527523
7520322909533949220,老十三胤祥算不算清朝历史上最牛的亲王？ #历史 #清朝 #雍正王朝 #乾隆 #人文星闪耀计划,穆金荣（穷历史）,95641533934,2025-06-27 16:55:00,"历史, 清朝, 雍正王朝, 乾隆, 人文星闪耀计划",0,20124,514,0,225,https://www.douyin.com/video/7520322909533949220
7520584801334725928,21分钟看完历史上十大杰出帝王，看谁才是那个当之无愧的第一 #历史 #历史知识 #秦始皇 #朱元璋 #朱棣,索卷历史,2434795443324137,2025-06-27 19:10:25,"历史, 历史知识, 秦始皇, 朱元璋, 朱棣",0,14272,1912,0,901,https://www.douyin.com/video/7520584801334725928
