video_id,desc,author,author_id,author_homepage,create_time,tags,digg_count,comment_count,share_count,video_url
7521357235751324986,伊朗终于敲定准备紧急采购龙哥36架歼-10C战机，为何说已经太迟了呢？  要知道时间不等人。即便现在下单， 首批战机也要等到2028年才能交付，而以色列不会给伊朗这么长时间的喘息机……版本过低，升级后,地理东半球,1297037858704990,https://www.douyin.com/user/MS4wLjABAAAAGK1f72whyw7gkNqDUfQqbypmQBAj_WlSxOarvxoepK0kWnX4Xpm_YGV-0E54aGjn,2025-06-29 21:07:28,,12310,1803,177,https://www.douyin.com/video/7521357235751324986
7498275385428217107,南京紫金山上到底埋葬了多少帝王将相？真实情况颠覆你的认知 #地理知识 #紫金山 #朱元璋 #明朝 #南京,地理游侠,685730743189996,https://www.douyin.com/user/MS4wLjABAAAAdvt1HdhoHTLmfy_imjkWAuMiWCsdOnhhM5Ovhpq1ZLs,2025-04-28 16:19:50,"地理知识, 紫金山, 朱元璋, 明朝, 南京",94855,2090,14302,https://www.douyin.com/video/7498275385428217107
7435220235747200282,为什么重庆看起来像三个城市？主城都市区、渝东北库区、渝东南山 #重庆 #重庆dou知道 #重庆旅游攻略 #重庆美食 #地理,全景历史地理,91683158500,https://www.douyin.com/user/MS4wLjABAAAAR9HxrXKUobJV3L7OCxcFxlC9vX3OguJ_RmZ7C6cK51g,2024-11-09 18:15:22,"重庆, 重庆dou知道, 重庆旅游攻略, 重庆美食, 地理",77535,7613,18621,https://www.douyin.com/video/7435220235747200282
7494204965821484328,“山西省临汾市，为什么GDP总量全省第五？” #地理 #极地理 #山西 #临汾,极地理,7473482753671447612,https://www.douyin.com/user/MS4wLjABAAAARLyCpMKXJJH23740ZSmEALiEGwb3X2fgRtj3Td47TWUyR_0G5GvZtTgqizNuiMDL,2025-04-17 17:19:16,"地理, 极地理, 山西, 临汾",24185,4905,11691,https://www.douyin.com/video/7494204965821484328
7514672869884955916,地理——大洲分界线 #地理 #匠心地理  #大洲分界线 #当你的地理老师会剪辑视频时 #我的月亮,匠心地理,109353724777,https://www.douyin.com/user/MS4wLjABAAAApMehDHnzQos9KHl-jFMnsZ-75jl4rydkFd6WXCQ105o,2025-06-11 20:52:14,"地理, 匠心地理, 大洲分界线, 当你的地理老师会剪辑视频时, 我的月亮",88112,2004,9156,https://www.douyin.com/video/7514672869884955916
7503872091298680116,山西到底是个怎样的省份#地理#地图#科普#山西#山西dou知道,唱地理,7443304610180367418,https://www.douyin.com/user/MS4wLjABAAAA5X3hU5KE3W9UF_O4XxE4ZQfDIMu7DYn8XJcpIctVGlPrgCrUT8Tyq3nXHAY5YTcB,2025-05-13 18:16:28,"地理, 地图, 科普, 山西",26271,3633,6457,https://www.douyin.com/video/7503872091298680116
7489771188047121699,山东 礼仪之邦 齐鲁圣地 儒家文化发源地#地理#地图#科普#山东,唱地理,7443304610180367418,https://www.douyin.com/user/MS4wLjABAAAA5X3hU5KE3W9UF_O4XxE4ZQfDIMu7DYn8XJcpIctVGlPrgCrUT8Tyq3nXHAY5YTcB,2025-04-05 18:17:49,"地理, 地图, 科普, 山东",59365,9477,13359,https://www.douyin.com/video/7489771188047121699
7484611457255083283,"""所以广东的遗憾到底是什么呢"" #广东 #地理知识",微观华夏——人文地理,2291830868156312,https://www.douyin.com/user/MS4wLjABAAAALkI_QlA0U4lrI9mVrEa-gUYIlo-pGpkGc8yBcw9-MdT-kC4UnMR0sry-LbtzwQFl,2025-03-22 20:42:41,"广东, 地理知识",36767,2357,8265,https://www.douyin.com/video/7484611457255083283
7467444248145677620,甘肃：我国西北的守护神，穷的稳定，却颜值普遍较高！ #地理 #甘肃 #地理知识 #西北,地理小小怪谈,2032349671863277,https://www.douyin.com/user/MS4wLjABAAAASYtC-EZmeEVSBsMPQfaSuhl_n1qu-OipWi7JsocNFNtS2xFYyv2pGTTgT4zh8VF5,2025-02-05 07:07:00,"地理, 甘肃, 地理知识, 西北",29885,7799,15514,https://www.douyin.com/video/7467444248145677620
7520918614766701881,一个视频带你了解为什么卡瓦格博峰至今无人登顶？#地理知识 #卫星地图 #原创视频 #地理,3D地图的小C（在线教学）,92455865049,https://www.douyin.com/user/MS4wLjABAAAAi9pkR296BwsFnwmtcz9lHp9jksJVNL_zX9zyLNqJFVM,2025-06-28 16:45:23,"地理知识, 卫星地图, 原创视频, 地理",1294,129,41,https://www.douyin.com/video/7520918614766701881
7496360840438861119,曾经因战争损失99%的人口，江南地区说河南话的城市 江南的城市都很有名，但这座城市好像进大家的知识盲区了#地理知识 #江南 #宣城 #自然奇境科普季,地理游侠,685730743189996,https://www.douyin.com/user/MS4wLjABAAAAdvt1HdhoHTLmfy_imjkWAuMiWCsdOnhhM5Ovhpq1ZLs,2025-04-23 12:31:01,"地理知识, 江南, 宣城, 自然奇境科普季",33126,3898,16024,https://www.douyin.com/video/7496360840438861119
7521185042459102521,由于历史因素，厦门与金门近在咫尺，大陆管辖的厦门距小金门仅5公里，到大金门也不过10公里 。 这份天然的地理亲近，为两岸交流合作提供了得天独厚的条件，也让金门与大陆的融合发展成为不……版本过低，升级后,地理东半球,1297037858704990,https://www.douyin.com/user/MS4wLjABAAAAGK1f72whyw7gkNqDUfQqbypmQBAj_WlSxOarvxoepK0kWnX4Xpm_YGV-0E54aGjn,2025-06-29 09:59:20,,2732,41,46,https://www.douyin.com/video/7521185042459102521
7496419880908983578,2.75亿吨稀土震惊世界，蒙飞美报喜，中国：上天入地都运不走 #地理知识 #三维地理世界 #通过地图看世界 #蒙古国 #稀土,地理微观,109489510972,https://www.douyin.com/user/MS4wLjABAAAAqADI2dBVccOTOojOZI9spn3ygn6a1oQKr-lgsprvUt0,2025-04-23 16:19:40,"地理知识, 三维地理世界, 通过地图看世界, 蒙古国, 稀土",54281,1218,955,https://www.douyin.com/video/7496419880908983578
7520353139145346355,1分钟盘点世界自然灾害最多的国家 #地理 #涨知识 #自然奇境科普季  #夏梦逐浪,靠谱百科菌,3105492352374973,https://www.douyin.com/user/MS4wLjABAAAA1n6fpRsavPRQ-wdFQMAe1Zca2E6WMrHZdRt58SH7_Wzo6COGEfDfJGTZLjdLZA4z,2025-06-27 17:58:00,"地理, 涨知识, 自然奇境科普季, 夏梦逐浪",5840,59,169,https://www.douyin.com/video/7520353139145346355
7493336780356291855,全世界仅剩5个社会主义国家，除中国外，另外四个分别是谁？ #朝鲜 #越南 #地理科普 #三维地图看世界 #手推地球,地理研究馆,3688183251075981,https://www.douyin.com/user/MS4wLjABAAAAWRvCo9un9WFnaVS0QHFzX3msDAeludMtwaepGSJWM9DVMCKxTzVoKChh984Qd0bd,2025-04-15 11:01:00,"朝鲜, 越南, 地理科普, 三维地图看世界, 手推地球",11802,52,494,https://www.douyin.com/video/7493336780356291855
7511975011911290172,#燕子#乡村守护人,老鹿（地理）,7468865254975751227,https://www.douyin.com/user/MS4wLjABAAAA3A4oGQG3tnWZ9G5bTbtO6RWK-Agk08micQVJkzUwkLuS52-nwRwYzKNwXfgpjGio,2025-06-04 14:19:44,"燕子, 乡村守护人",26139,270,1072,https://www.douyin.com/video/7511975011911290172
7497568140969250098,中国如果没有宁夏，会怎么样？ #宁夏 #地理 #历史 #涨知识,地理热叭,3430128793704328,https://www.douyin.com/user/MS4wLjABAAAApz3JEvVehqm69G5d7MHIOe4XpT27SCxAPPwrJhgrNQc2ipVR2o45J5tMUtnqc6Av,2025-04-26 18:37:59,"宁夏, 地理, 历史, 涨知识",92635,20103,31824,https://www.douyin.com/video/7497568140969250098
7455592733021850932,河南被误解的有多深？河南人没见过山？河南是北方还是南方？#河南 #地理科普 #信阳 #商丘 #河南美好推荐官,地理探索局,1425446660224428,https://www.douyin.com/user/MS4wLjABAAAA5eIkXTQm6i-dMJoiuAiPjgi2ZTT4q-avxlPXvy1OYT7EVsTO73L3ASovAqExjga5,2025-01-03 15:48:17,"河南, 地理科普, 信阳, 商丘, 河南美好推荐官",129963,13331,39877,https://www.douyin.com/video/7455592733021850932
7516120334081297683,伊朗与以色列，是如何从“伙伴”变成了“仇人”？ #地理 #以色列 #伊朗 #历史,地理小小怪谈,2032349671863277,https://www.douyin.com/user/MS4wLjABAAAASYtC-EZmeEVSBsMPQfaSuhl_n1qu-OipWi7JsocNFNtS2xFYyv2pGTTgT4zh8VF5,2025-06-15 18:37:50,"地理, 以色列, 伊朗, 历史",29896,1033,3694,https://www.douyin.com/video/7516120334081297683
7514623386589383987,6月份想要短时高效上大分的，直接看这条视频！ #2025生地会考 #三江源 #生地会考押题,开开老师说地理,108119344601,https://www.douyin.com/user/MS4wLjABAAAApQt4XNWsIr0WT099qFmAR-k3z0z7rSieyu2pY6Z1PtA,2025-06-11 17:37:19,"2025生地会考, 三江源, 生地会考押题",28084,1583,6760,https://www.douyin.com/video/7514623386589383987
7520996607563762996,藏南:虽然划入中国地图，但仍有6.8万平方公里被印度控制着 #历史 #近代史 #藏南 #地理,雍史记,3892705597865583,https://www.douyin.com/user/MS4wLjABAAAAVmV743TYh5ItnI5xgYj4K6aLcd2Bt2deQGUoaHQe9wEjQUBuKnFbN5LCCxXC1lZS,2025-06-28 21:48:53,"历史, 近代史, 藏南, 地理",129,0,19,https://www.douyin.com/video/7520996607563762996
7520921429865499945,水漫县城，贵州榕江遭超50年一遇大洪灾，为何这么厉害？ #地理知识 #三维地理世界 #通过地图看世界 #贵州榕江 #洪水,地理微观,109489510972,https://www.douyin.com/user/MS4wLjABAAAAqADI2dBVccOTOojOZI9spn3ygn6a1oQKr-lgsprvUt0,2025-06-28 16:56:33,"地理知识, 三维地理世界, 通过地图看世界, 贵州榕江, 洪水",1958,109,346,https://www.douyin.com/video/7520921429865499945
7516574528902810943,地理——南极科考站 #匠心地理 #南极科考站 #地理 #科普 #推开世界的门丸子版,匠心地理,109353724777,https://www.douyin.com/user/MS4wLjABAAAApMehDHnzQos9KHl-jFMnsZ-75jl4rydkFd6WXCQ105o,2025-06-16 23:48:26,"匠心地理, 南极科考站, 地理, 科普, 推开世界的门丸子版",319193,5628,23686,https://www.douyin.com/video/7516574528902810943
7507953642817735975,广东最低调的城市，清远 #地理 #地理知识 #地理科普 #清远,小星地理,2225027925945198,https://www.douyin.com/user/MS4wLjABAAAA48E-szfduZotKJqzvx-DaKlwpSFjX_ppq0go1kzY7zeZpMVU0YvtetkkRkCNDyB_,2025-05-24 18:18:08,"地理, 地理知识, 地理科普, 清远",26091,4136,19903,https://www.douyin.com/video/7507953642817735975
7517966987507535119,江苏中考有多难？一场决定很多人能否继续“参赛”的生存资格赛 江苏中考有多难？就这么说吧，别省的孩子考完试琢磨“暑假去哪儿浪”，江苏娃考完已经在研究“新东方烹饪和蓝翔挖掘机哪个专业更吃香”了！#江苏中考,小毛地理,253342667257305,https://www.douyin.com/user/MS4wLjABAAAAf9AH3xb8dg6owfjyF4UBsHtuEpsNPxEsE2_xeNWoams,2025-06-21 05:36:00,"江苏中考, 中考, 江苏, 普高率, 地理知识",92755,22147,37481,https://www.douyin.com/video/7517966987507535119
7513223702524939578,蒙古国之所以难以被入侵，主要原因在于其地理位置的特殊性。蒙古国位于 俄罗斯 和 中国 之间，这两个大国如同两堵墙一样保护着蒙古，使得任何试图入侵蒙古的势力都必须先获得中俄两国的同意……版本过低，升级后,地理东半球,1297037858704990,https://www.douyin.com/user/MS4wLjABAAAAGK1f72whyw7gkNqDUfQqbypmQBAj_WlSxOarvxoepK0kWnX4Xpm_YGV-0E54aGjn,2025-06-07 23:05:16,,13840,2983,547,https://www.douyin.com/video/7513223702524939578
