source_url,resolved_url,user_id,sec_user_id,nickname,unique_id,signature,gender,age,address,follower_count,following_count,aweme_count,total_favorited
https://www.douyin.com/user/MS4wLjABAAAAqADI2dBVccOTOojOZI9spn3ygn6a1oQKr-lgsprvUt0,https://www.douyin.com/user/MS4wLjABAAAAqADI2dBVccOTOojOZI9spn3ygn6a1oQKr-lgsprvUt0,,MS4wLjABAAAAqADI2dBVccOTOojOZI9spn3ygn6a1oQKr-lgsprvUt0,,,,Unknown,Unknown,Unknown,0,0,0,0
https://www.douyin.com/user/MS4wLjABAAAALkI_QlA0U4lrI9mVrEa-gUYIlo-pGpkGc8yBcw9-MdT-kC4UnMR0sry-LbtzwQFl,https://www.douyin.com/user/MS4wLjABAAAALkI_QlA0U4lrI9mVrEa-gUYIlo-pGpkGc8yBcw9-MdT-kC4UnMR0sry-LbtzwQFl,,MS4wLjABAAAALkI_QlA0U4lrI9mVrEa-gUYIlo-pGpkGc8yBcw9-MdT-kC4UnMR0sry-LbtzwQFl,,,,Unknown,Unknown,Unknown,0,0,0,0
https://www.douyin.com/user/MS4wLjABAAAAGC991b-Kl7aJa_H14NbQINuLVRxMC2tEyYXgz8ZsuKs,https://www.douyin.com/user/MS4wLjABAAAAGC991b-Kl7aJa_H14NbQINuLVRxMC2tEyYXgz8ZsuKs,,MS4wLjABAAAAGC991b-Kl7aJa_H14NbQINuLVRxMC2tEyYXgz8ZsuKs,,,,Unknown,Unknown,Unknown,0,0,0,0
https://www.douyin.com/user/MS4wLjABAAAAA-nszlLobKp8bhlbfHZrcm3h6huVS-o8goZIufteuzY,https://www.douyin.com/user/MS4wLjABAAAAA-nszlLobKp8bhlbfHZrcm3h6huVS-o8goZIufteuzY,,MS4wLjABAAAAA-nszlLobKp8bhlbfHZrcm3h6huVS-o8goZIufteuzY,,,,Unknown,Unknown,Unknown,0,0,0,0
https://www.douyin.com/user/MS4wLjABAAAAKfmCpyJLMsbwJ3IS5ftumxHNxP5r-wtwDV7afEskHUQ,https://www.douyin.com/user/MS4wLjABAAAAKfmCpyJLMsbwJ3IS5ftumxHNxP5r-wtwDV7afEskHUQ,,MS4wLjABAAAAKfmCpyJLMsbwJ3IS5ftumxHNxP5r-wtwDV7afEskHUQ,,,,Unknown,Unknown,Unknown,0,0,0,0
https://www.douyin.com/user/MS4wLjABAAAA2SB3sxWLZxe9W5wiQQwoWbQu8J_hmyolePc3ucTaP-xFv8edOXBIFFJkWAGVVsMr,https://www.douyin.com/user/MS4wLjABAAAA2SB3sxWLZxe9W5wiQQwoWbQu8J_hmyolePc3ucTaP-xFv8edOXBIFFJkWAGVVsMr,,MS4wLjABAAAA2SB3sxWLZxe9W5wiQQwoWbQu8J_hmyolePc3ucTaP-xFv8edOXBIFFJkWAGVVsMr,,,,Unknown,Unknown,Unknown,0,0,0,0
https://www.douyin.com/user/MS4wLjABAAAA2HQHEhTgwXni72RodQzSsm1SOb5v5JIPXK0bzvejcs0,https://www.douyin.com/user/MS4wLjABAAAA2HQHEhTgwXni72RodQzSsm1SOb5v5JIPXK0bzvejcs0,,MS4wLjABAAAA2HQHEhTgwXni72RodQzSsm1SOb5v5JIPXK0bzvejcs0,,,,Unknown,Unknown,Unknown,0,0,0,0
https://www.douyin.com/user/MS4wLjABAAAABCEi1MUfsVpTo51dY8bhrpZVPTfAQJMDBh90mn-QVz8,https://www.douyin.com/user/MS4wLjABAAAABCEi1MUfsVpTo51dY8bhrpZVPTfAQJMDBh90mn-QVz8,,MS4wLjABAAAABCEi1MUfsVpTo51dY8bhrpZVPTfAQJMDBh90mn-QVz8,,,,Unknown,Unknown,Unknown,0,0,0,0
https://www.douyin.com/user/MS4wLjABAAAAqvgOndQhBFIg6zXvISVyKeIaAscvtbqKZYmWKhcbHmM,https://www.douyin.com/user/MS4wLjABAAAAqvgOndQhBFIg6zXvISVyKeIaAscvtbqKZYmWKhcbHmM,,MS4wLjABAAAAqvgOndQhBFIg6zXvISVyKeIaAscvtbqKZYmWKhcbHmM,,,,Unknown,Unknown,Unknown,0,0,0,0
https://www.douyin.com/user/MS4wLjABAAAAmEhMHCvvF4C4zwI8mmNFrrMAFd6uX5JioqvAI-cxLiV0Wr_dIXHCePm4iqT804WL,https://www.douyin.com/user/MS4wLjABAAAAmEhMHCvvF4C4zwI8mmNFrrMAFd6uX5JioqvAI-cxLiV0Wr_dIXHCePm4iqT804WL,,MS4wLjABAAAAmEhMHCvvF4C4zwI8mmNFrrMAFd6uX5JioqvAI-cxLiV0Wr_dIXHCePm4iqT804WL,,,,Unknown,Unknown,Unknown,0,0,0,0
