user_id,address,age,aweme_count,total_favorited,favoriting_count
MS4wLjABAAAARLyCpMKXJJH23740ZSmEALiEGwb3X2fgRtj3Td47TWUyR_0G5GvZtTgqizNuiMDL,未知,未知,未知,未知,未知
MS4wLjABAAAAqADI2dBVccOTOojOZI9spn3ygn6a1oQKr-lgsprvUt0,未知,未知,未知,未知,未知
MS4wLjABAAAAxA44mxJVod_Aq5wc0cZrbZHJ2S_DnoJctGpb_mOvsxs,未知,未知,未知,未知,未知
MS4wLjABAAAARLyCpMKXJJH23740ZSmEALiEGwb3X2fgRtj3Td47TWUyR_0G5GvZtTgqizNuiMDL,未知,未知,未知,未知,未知
MS4wLjABAAAASYtC-EZmeEVSBsMPQfaSuhl_n1qu-OipWi7JsocNFNtS2xFYyv2pGTTgT4zh8VF5,未知,未知,未知,未知,未知
MS4wLjABAAAAVbgvIGWUL5novVrAlrx7-HDchJpPROzNqwrUsoTWB_bilLqoCBX9oqo-PJaY_Vgo,未知,未知,未知,未知,未知
MS4wLjABAAAA6D8xTHJzgxtWTTkg4VBv-GAmICIOKA5QD4o8-xrq45AwGnhKKCtBcHMA76bSJSr9,未知,未知,未知,未知,未知
MS4wLjABAAAAWhF8vhhYbbm5EZGg_nu4lE6GwdltzMaKhXkA4OCvk9s,未知,未知,未知,未知,未知
MS4wLjABAAAAZ0ooGJsI8KrdkwBFbX2JYLOuBycLrCC668Ydxns9hZpiJNex3vJ8OrJEAxua49mu,未知,未知,未知,未知,未知
MS4wLjABAAAAqvgOndQhBFIg6zXvISVyKeIaAscvtbqKZYmWKhcbHmM,未知,未知,未知,未知,未知
MS4wLjABAAAAWhF8vhhYbbm5EZGg_nu4lE6GwdltzMaKhXkA4OCvk9s,未知,未知,未知,未知,未知
MS4wLjABAAAAQliR3awO_SXlxo_ORb5YrCnVVtVG1JcihFP9qYOAfVu32BjnZOtOVXhRKu5em0Ga,未知,未知,未知,未知,未知
MS4wLjABAAAA5X3hU5KE3W9UF_O4XxE4ZQfDIMu7DYn8XJcpIctVGlPrgCrUT8Tyq3nXHAY5YTcB,未知,未知,未知,未知,未知
MS4wLjABAAAAQk0p6Ek7qgUNeKxd0WcvEB-X9ugUNaWKA5pfFnjP951yVFZ-rJ68dbu7HplLo00J,未知,未知,未知,未知,未知
MS4wLjABAAAAGK1f72whyw7gkNqDUfQqbypmQBAj_WlSxOarvxoepK0kWnX4Xpm_YGV-0E54aGjn,未知,未知,未知,未知,未知
MS4wLjABAAAAY841wfC3fdvm6ShLmwLZLPLWOtNDAJzcuLPqNz2k8jnzVZsnHBQbvhHe92R27Scj,未知,未知,未知,未知,未知
MS4wLjABAAAAmEhMHCvvF4C4zwI8mmNFrrMAFd6uX5JioqvAI-cxLiV0Wr_dIXHCePm4iqT804WL,未知,未知,未知,未知,未知
MS4wLjABAAAAKfmCpyJLMsbwJ3IS5ftumxHNxP5r-wtwDV7afEskHUQ,未知,未知,未知,未知,未知
MS4wLjABAAAAqN0M0RY9V9oODY-_BgdciAmaBQ1FOU4X9dLyB__LRlU,未知,未知,未知,未知,未知
MS4wLjABAAAAzq8GhD-miOYSLocmUO7E4Pt8fJK3hTrWstzT0fbJJsc,未知,未知,未知,未知,未知
MS4wLjABAAAApMehDHnzQos9KHl-jFMnsZ-75jl4rydkFd6WXCQ105o,未知,未知,未知,未知,未知
MS4wLjABAAAARLyCpMKXJJH23740ZSmEALiEGwb3X2fgRtj3Td47TWUyR_0G5GvZtTgqizNuiMDL,未知,未知,未知,未知,未知
MS4wLjABAAAAzq8GhD-miOYSLocmUO7E4Pt8fJK3hTrWstzT0fbJJsc,未知,未知,未知,未知,未知
MS4wLjABAAAANzM4u-l3cY4teN83izGOUPZZxwjnjvexLS1L83QxF0o,未知,未知,未知,未知,未知
MS4wLjABAAAARLyCpMKXJJH23740ZSmEALiEGwb3X2fgRtj3Td47TWUyR_0G5GvZtTgqizNuiMDL,未知,未知,未知,未知,未知
MS4wLjABAAAAQk0p6Ek7qgUNeKxd0WcvEB-X9ugUNaWKA5pfFnjP951yVFZ-rJ68dbu7HplLo00J,未知,未知,未知,未知,未知
MS4wLjABAAAAdvt1HdhoHTLmfy_imjkWAuMiWCsdOnhhM5Ovhpq1ZLs,未知,未知,未知,未知,未知
MS4wLjABAAAAQk0p6Ek7qgUNeKxd0WcvEB-X9ugUNaWKA5pfFnjP951yVFZ-rJ68dbu7HplLo00J,未知,未知,未知,未知,未知
MS4wLjABAAAA6D8xTHJzgxtWTTkg4VBv-GAmICIOKA5QD4o8-xrq45AwGnhKKCtBcHMA76bSJSr9,未知,未知,未知,未知,未知
MS4wLjABAAAA2fvbUNtgKouEcEXBnh4B2xBG9_QUReLTdlIB77efuRuRYRTJbzcctb1ptwbF3LWv,未知,未知,未知,未知,未知
MS4wLjABAAAAmEhMHCvvF4C4zwI8mmNFrrMAFd6uX5JioqvAI-cxLiV0Wr_dIXHCePm4iqT804WL,未知,未知,未知,未知,未知
MS4wLjABAAAAQk0p6Ek7qgUNeKxd0WcvEB-X9ugUNaWKA5pfFnjP951yVFZ-rJ68dbu7HplLo00J,未知,未知,未知,未知,未知
MS4wLjABAAAAQliR3awO_SXlxo_ORb5YrCnVVtVG1JcihFP9qYOAfVu32BjnZOtOVXhRKu5em0Ga,未知,未知,未知,未知,未知
MS4wLjABAAAAWhF8vhhYbbm5EZGg_nu4lE6GwdltzMaKhXkA4OCvk9s,未知,未知,未知,未知,未知
MS4wLjABAAAAtc9DJhRNK6rj30SYefeKUvOze08hIzaP0gdhpX5W8s1bQLyXZ3qvhy_yutld3Wgp,未知,未知,未知,未知,未知
MS4wLjABAAAApz3JEvVehqm69G5d7MHIOe4XpT27SCxAPPwrJhgrNQc2ipVR2o45J5tMUtnqc6Av,未知,未知,未知,未知,未知
MS4wLjABAAAAiJ6Wtvbqf2kCbpgDHP8Fvh8xXf2O1wj8cjUDL1p-qvIgBrC4GJWD9b3vrPcvgU07,未知,未知,未知,未知,未知
MS4wLjABAAAAIZfGUA3-I17tb8UJvi_9hWBmg1jUAkmEI-5ZQ4vRukQ,未知,未知,未知,未知,未知
MS4wLjABAAAAQk0p6Ek7qgUNeKxd0WcvEB-X9ugUNaWKA5pfFnjP951yVFZ-rJ68dbu7HplLo00J,未知,未知,未知,未知,未知
MS4wLjABAAAA6D8xTHJzgxtWTTkg4VBv-GAmICIOKA5QD4o8-xrq45AwGnhKKCtBcHMA76bSJSr9,未知,未知,未知,未知,未知
MS4wLjABAAAA5X3hU5KE3W9UF_O4XxE4ZQfDIMu7DYn8XJcpIctVGlPrgCrUT8Tyq3nXHAY5YTcB,未知,未知,未知,未知,未知
MS4wLjABAAAAZ0ooGJsI8KrdkwBFbX2JYLOuBycLrCC668Ydxns9hZpiJNex3vJ8OrJEAxua49mu,未知,未知,未知,未知,未知
MS4wLjABAAAA2fvbUNtgKouEcEXBnh4B2xBG9_QUReLTdlIB77efuRuRYRTJbzcctb1ptwbF3LWv,未知,未知,未知,未知,未知
MS4wLjABAAAAqw1C3jY9-4yN52oph1CXAGRWJZhAa81D7lJ65Sx00v7UENSTxfqK2RUuz3H7Ndog,未知,未知,未知,未知,未知
MS4wLjABAAAAQk0p6Ek7qgUNeKxd0WcvEB-X9ugUNaWKA5pfFnjP951yVFZ-rJ68dbu7HplLo00J,未知,未知,未知,未知,未知
MS4wLjABAAAA5X3hU5KE3W9UF_O4XxE4ZQfDIMu7DYn8XJcpIctVGlPrgCrUT8Tyq3nXHAY5YTcB,未知,未知,未知,未知,未知
MS4wLjABAAAAt6jy3zulz21xarPkb7GiHfEiH8m5IwdL8aPqcAVOJ-8,未知,未知,未知,未知,未知
MS4wLjABAAAAt6jy3zulz21xarPkb7GiHfEiH8m5IwdL8aPqcAVOJ-8,未知,未知,未知,未知,未知
MS4wLjABAAAA6D8xTHJzgxtWTTkg4VBv-GAmICIOKA5QD4o8-xrq45AwGnhKKCtBcHMA76bSJSr9,未知,未知,未知,未知,未知
MS4wLjABAAAA2fvbUNtgKouEcEXBnh4B2xBG9_QUReLTdlIB77efuRuRYRTJbzcctb1ptwbF3LWv,未知,未知,未知,未知,未知
MS4wLjABAAAA32JEoS5N-R2h3aDLXTeavcbAD8zJqzSfSALXsvWUlTef0A3jX17P2T5iPj1ovPf4,未知,未知,未知,未知,未知
MS4wLjABAAAAGK1f72whyw7gkNqDUfQqbypmQBAj_WlSxOarvxoepK0kWnX4Xpm_YGV-0E54aGjn,未知,未知,未知,未知,未知
MS4wLjABAAAA5X3hU5KE3W9UF_O4XxE4ZQfDIMu7DYn8XJcpIctVGlPrgCrUT8Tyq3nXHAY5YTcB,未知,未知,未知,未知,未知
MS4wLjABAAAAQk0p6Ek7qgUNeKxd0WcvEB-X9ugUNaWKA5pfFnjP951yVFZ-rJ68dbu7HplLo00J,未知,未知,未知,未知,未知
MS4wLjABAAAA2fvbUNtgKouEcEXBnh4B2xBG9_QUReLTdlIB77efuRuRYRTJbzcctb1ptwbF3LWv,未知,未知,未知,未知,未知
MS4wLjABAAAAOCLpbyt9s82x7vFE_VU42_p-r5XGkG8yB27-i8go74ZZmQScV4owyP6uHuCylYiU,未知,未知,未知,未知,未知
MS4wLjABAAAAkd1PhokASv8sGmzZofNBSfL_E1puBBAL5mHFrUfeitg,未知,未知,未知,未知,未知
MS4wLjABAAAARZcFtvl5Gx2iqtmU3KtWvR0VGdCJ_mGZn2pdUMw9Jzw,未知,未知,未知,未知,未知
MS4wLjABAAAA5X3hU5KE3W9UF_O4XxE4ZQfDIMu7DYn8XJcpIctVGlPrgCrUT8Tyq3nXHAY5YTcB,未知,未知,未知,未知,未知
MS4wLjABAAAAGK1f72whyw7gkNqDUfQqbypmQBAj_WlSxOarvxoepK0kWnX4Xpm_YGV-0E54aGjn,未知,未知,未知,未知,未知
MS4wLjABAAAA2fvbUNtgKouEcEXBnh4B2xBG9_QUReLTdlIB77efuRuRYRTJbzcctb1ptwbF3LWv,未知,未知,未知,未知,未知
MS4wLjABAAAA32JEoS5N-R2h3aDLXTeavcbAD8zJqzSfSALXsvWUlTef0A3jX17P2T5iPj1ovPf4,未知,未知,未知,未知,未知
MS4wLjABAAAA5X3hU5KE3W9UF_O4XxE4ZQfDIMu7DYn8XJcpIctVGlPrgCrUT8Tyq3nXHAY5YTcB,未知,未知,未知,未知,未知
MS4wLjABAAAA2fvbUNtgKouEcEXBnh4B2xBG9_QUReLTdlIB77efuRuRYRTJbzcctb1ptwbF3LWv,未知,未知,未知,未知,未知
MS4wLjABAAAAQk0p6Ek7qgUNeKxd0WcvEB-X9ugUNaWKA5pfFnjP951yVFZ-rJ68dbu7HplLo00J,未知,未知,未知,未知,未知
MS4wLjABAAAAOCLpbyt9s82x7vFE_VU42_p-r5XGkG8yB27-i8go74ZZmQScV4owyP6uHuCylYiU,未知,未知,未知,未知,未知
MS4wLjABAAAAkd1PhokASv8sGmzZofNBSfL_E1puBBAL5mHFrUfeitg,未知,未知,未知,未知,未知
MS4wLjABAAAAGK1f72whyw7gkNqDUfQqbypmQBAj_WlSxOarvxoepK0kWnX4Xpm_YGV-0E54aGjn,未知,未知,未知,未知,未知
MS4wLjABAAAApz3JEvVehqm69G5d7MHIOe4XpT27SCxAPPwrJhgrNQc2ipVR2o45J5tMUtnqc6Av,未知,未知,未知,未知,未知
MS4wLjABAAAAZ0ooGJsI8KrdkwBFbX2JYLOuBycLrCC668Ydxns9hZpiJNex3vJ8OrJEAxua49mu,未知,未知,未知,未知,未知
MS4wLjABAAAApMehDHnzQos9KHl-jFMnsZ-75jl4rydkFd6WXCQ105o,未知,未知,未知,未知,未知
MS4wLjABAAAAdvt1HdhoHTLmfy_imjkWAuMiWCsdOnhhM5Ovhpq1ZLs,未知,未知,未知,未知,未知
MS4wLjABAAAA2fvbUNtgKouEcEXBnh4B2xBG9_QUReLTdlIB77efuRuRYRTJbzcctb1ptwbF3LWv,未知,未知,未知,未知,未知
MS4wLjABAAAA6D8xTHJzgxtWTTkg4VBv-GAmICIOKA5QD4o8-xrq45AwGnhKKCtBcHMA76bSJSr9,未知,未知,未知,未知,未知
MS4wLjABAAAAxG-og2Q6H0H3qzvFBA4Qx4O0R2fBWrU18sxsqV6e6I0,未知,未知,未知,未知,未知
MS4wLjABAAAAoMF0FxdgOR1wdY1PrjZFlVrpiCr88re8vFqOSH9gH0k,未知,未知,未知,未知,未知
MS4wLjABAAAAhtjhrVUoaMtDH_dYufFTxJEh1PHLFcRL5XozWy4MmmQ,未知,未知,未知,未知,未知
MS4wLjABAAAAqvgOndQhBFIg6zXvISVyKeIaAscvtbqKZYmWKhcbHmM,未知,未知,未知,未知,未知
MS4wLjABAAAAhtjhrVUoaMtDH_dYufFTxJEh1PHLFcRL5XozWy4MmmQ,未知,未知,未知,未知,未知
MS4wLjABAAAALkI_QlA0U4lrI9mVrEa-gUYIlo-pGpkGc8yBcw9-MdT-kC4UnMR0sry-LbtzwQFl,未知,未知,未知,未知,未知
MS4wLjABAAAAQk0p6Ek7qgUNeKxd0WcvEB-X9ugUNaWKA5pfFnjP951yVFZ-rJ68dbu7HplLo00J,未知,未知,未知,未知,未知
MS4wLjABAAAAxG-og2Q6H0H3qzvFBA4Qx4O0R2fBWrU18sxsqV6e6I0,未知,未知,未知,未知,未知
MS4wLjABAAAApMehDHnzQos9KHl-jFMnsZ-75jl4rydkFd6WXCQ105o,未知,未知,未知,未知,未知
MS4wLjABAAAApzjTQ_ddt32HbFDVFzvisq8sL7FYEW3Fs7pGBw-H5Q8,未知,未知,未知,未知,未知
MS4wLjABAAAAm0bwmzZrKGprvwmnWXCAypCqdqrVmn9pG_ucc7mbjHIYGH5qKDgVKnYlmsj6r-NZ,未知,未知,未知,未知,未知
MS4wLjABAAAA2fvbUNtgKouEcEXBnh4B2xBG9_QUReLTdlIB77efuRuRYRTJbzcctb1ptwbF3LWv,未知,未知,未知,未知,未知
MS4wLjABAAAABCEi1MUfsVpTo51dY8bhrpZVPTfAQJMDBh90mn-QVz8,未知,未知,未知,未知,未知
MS4wLjABAAAAFLiU7BSSGKleJ6lkprNLcvgYIDnsUgLiMLOvdgm4xF4,未知,未知,未知,未知,未知
MS4wLjABAAAAGK1f72whyw7gkNqDUfQqbypmQBAj_WlSxOarvxoepK0kWnX4Xpm_YGV-0E54aGjn,未知,未知,未知,未知,未知
MS4wLjABAAAAGC991b-Kl7aJa_H14NbQINuLVRxMC2tEyYXgz8ZsuKs,未知,未知,未知,未知,未知
